FIPS Code,State and area,Year,Month,Civilian non-institutional population,Civilian labor force Total,Civilian labor force Percent of population,Civilian labor force Employment Total,Civilian labor force Employment Percent of population,Civilian labor force Unemployment Total,Civilian labor force Unemployment Rate
26,Michigan,2008,3,7772766,4921424,63.3,4549473,58.5,371951,7.6
27,Minnesota,2008,3,4039257,2897845,71.7,2739199,67.8,158646,5.5
28,Mississippi,2008,3,2182554,1312045,60.1,1236476,56.7,75569,5.8
29,Missouri,2008,3,4563774,3006370,65.9,2832105,62.1,174265,5.8
30,Montana,2008,3,757375,505557,66.8,478974,63.2,26583,5.3
31,Nebraska,2008,3,1348963,983667,72.9,951470,70.5,32197,3.3
32,Nevada,2008,3,1967341,1356089,68.9,1279716,65,76373,5.6
33,New Hampshire,2008,3,1049025,740475,70.6,709570,67.6,30905,4.2
34,New Jersey,2008,3,6710074,4478557,66.7,4253700,63.4,224857,5
35,New Mexico,2008,3,1494519,935734,62.6,897854,60.1,37880,4
36,New York,2008,3,15248105,9572922,62.8,9079370,59.5,493552,5.2
51000,New York city,2008,3,6559689,3904193,59.5,3707748,56.5,196445,5
37,North Carolina,2008,3,6975997,4516291,64.7,4283548,61.4,232743,5.2
38,North Dakota,2008,3,497790,367476,73.8,354058,71.1,13418,3.7
39,Ohio,2008,3,8920917,5920533,66.4,5563976,62.4,356557,6
40,Oklahoma,2008,3,2734661,1721513,63,1665279,60.9,56234,3.3
41,Oregon,2008,3,2957914,1932419,65.3,1816353,61.4,116066,6
42,Pennsylvania,2008,3,9870932,6372149,64.6,6049109,61.3,323040,5.1
44,Rhode Island,2008,3,837805,566590,67.6,525605,62.7,40985,7.2
45,South Carolina,2008,3,3422061,2116630,61.9,2001879,58.5,114751,5.4
46,South Dakota,2008,3,609538,442903,72.7,429227,70.4,13676,3.1
47,Tennessee,2008,3,4804746,3037444,63.2,2858852,59.5,178592,5.9
48,Texas,2008,3,17636630,11540874,65.4,11051758,62.7,489116,4.2
49,Utah,2008,3,1921544,1363666,71,1317655,68.6,46011,3.4
50,Vermont,2008,3,503985,352085,69.9,334077,66.3,18008,5.1
51,Virginia,2008,3,5905631,4103993,69.5,3955693,67,148300,3.6
53,Washington,2008,3,5064189,3455448,68.2,3275568,64.7,179880,5.2
54,West Virginia,2008,3,1447234,807302,55.8,767272,53,40030,5
55,Wisconsin,2008,3,4379735,3067047,70,2908652,66.4,158395,5.2
56,Wyoming,2008,3,408662,289456,70.8,279686,68.4,9770,3.4
1,Alabama,2008,4,3584693,2162674,60.3,2076473,57.9,86201,4
2,Alaska,2008,4,499825,350951,70.2,326620,65.3,24331,6.9
4,Arizona,2008,4,4848008,3072584,63.4,2927601,60.4,144983,4.7
5,Arkansas,2008,4,2182082,1372330,62.9,1308193,60,64137,4.7
6,California,2008,4,27532092,18040707,65.5,16936957,61.5,1103750,6.1
37,Los Angeles County,2008,4,7444889,4897089,65.8,4596884,61.7,300205,6.1
8,Colorado,2008,4,3751342,2696159,71.9,2583265,68.9,112894,4.2
9,Connecticut,2008,4,2722664,1859175,68.3,1770608,65,88567,4.8
10,Delaware,2008,4,676171,447238,66.1,429276,63.5,17962,4
11,District of Columbia,2008,4,476375,326763,68.6,309674,65,17089,5.2
12,Florida,2008,4,14449961,9170544,63.5,8727390,60.4,443154,4.8
13,Georgia,2008,4,7173457,4904644,68.4,4657465,64.9,247179,5
15,Hawaii,2008,4,973900,644071,66.1,621487,63.8,22584,3.5
16,Idaho,2008,4,1130104,753940,66.7,715757,63.3,38183,5.1
17,Illinois,2008,4,9796390,6650421,67.9,6305014,64.4,345407,5.2
18,Indiana,2008,4,4866256,3207357,65.9,3059494,62.9,147863,4.6
19,Iowa,2008,4,2316272,1674819,72.3,1611406,69.6,63413,3.8
20,Kansas,2008,4,2107403,1485993,70.5,1429443,67.8,56550,3.8
21,Kentucky,2008,4,3301623,2019535,61.2,1909833,57.8,109702,5.4
22,Louisiana,2008,4,3342530,2059853,61.6,1985181,59.4,74672,3.6
23,Maine,2008,4,1061310,696604,65.6,659550,62.1,37054,5.3
24,Maryland,2008,4,4349192,2969493,68.3,2873149,66.1,96344,3.2
25,Massachusetts,2008,4,5172601,3412385,66,3254565,62.9,157820,4.6
26,Michigan,2008,4,7771825,4874313,62.7,4547853,58.5,326460,6.7
27,Minnesota,2008,4,4042105,2906723,71.9,2761727,68.3,144996,5
28,Mississippi,2008,4,2183705,1305998,59.8,1239286,56.8,66712,5.1
29,Missouri,2008,4,4567221,3010738,65.9,2869852,62.8,140886,4.7
30,Montana,2008,4,758116,507460,66.9,483425,63.8,24035,4.7
31,Nebraska,2008,4,1349702,988061,73.2,958854,71,29207,3
32,Nevada,2008,4,1970300,1360849,69.1,1282079,65.1,78770,5.8
33,New Hampshire,2008,4,1049651,736116,70.1,708663,67.5,27453,3.7
34,New Jersey,2008,4,6712574,4470180,66.6,4270368,63.6,199812,4.5
35,New Mexico,2008,4,1495667,937141,62.7,902382,60.3,34759,3.7
36,New York,2008,4,15253522,9579399,62.8,9139731,59.9,439668,4.6
51000,New York city,2008,4,6563155,3891888,59.3,3716673,56.6,175215,4.5
37,North Carolina,2008,4,6986356,4533833,64.9,4312621,61.7,221212,4.9
38,North Dakota,2008,4,498037,369878,74.3,358497,72,11381,3.1
39,Ohio,2008,4,8922741,5924449,66.4,5610020,62.9,314429,5.3
40,Oklahoma,2008,4,2736623,1729898,63.2,1679666,61.4,50232,2.9
41,Oregon,2008,4,2961357,1936051,65.4,1830376,61.8,105675,5.5
42,Pennsylvania,2008,4,9875143,6387954,64.7,6108897,61.9,279057,4.4
44,Rhode Island,2008,4,837801,566216,67.6,527278,62.9,38938,6.9
45,South Carolina,2008,4,3427401,2125668,62,2014582,58.8,111086,5.2
46,South Dakota,2008,4,610010,443706,72.7,431451,70.7,12255,2.8
47,Tennessee,2008,4,4809741,3032249,63,2870802,59.7,161447,5.3
48,Texas,2008,4,17664569,11584272,65.6,11132636,63,451636,3.9
49,Utah,2008,4,1925126,1361620,70.7,1321384,68.6,40236,3
50,Vermont,2008,4,504134,349974,69.4,332597,66,17377,5
51,Virginia,2008,4,5910973,4124861,69.8,3993497,67.6,131364,3.2
53,Washington,2008,4,5070675,3446477,68,3285542,64.8,160935,4.7
54,West Virginia,2008,4,1447470,814929,56.3,779365,53.8,35564,4.4
55,Wisconsin,2008,4,4381983,3069620,70.1,2931612,66.9,138008,4.5
56,Wyoming,2008,4,409212,289203,70.7,280489,68.5,8714,3
1,Alabama,2008,5,3587446,2174485,60.6,2068192,57.7,106293,4.9
2,Alaska,2008,5,500225,357618,71.5,333900,66.7,23718,6.6
4,Arizona,2008,5,4856783,3080441,63.4,2915179,60,165262,5.4
5,Arkansas,2008,5,2183726,1381072,63.2,1310399,60,70673,5.1
6,California,2008,5,27559044,18096010,65.7,16932233,61.4,1163777,6.4
37,Los Angeles County,2008,5,7450154,4901385,65.8,4570872,61.4,330513,6.7
8,Colorado,2008,5,3757482,2696784,71.8,2579494,68.6,117290,4.3
9,Connecticut,2008,5,2724259,1878878,69,1780184,65.3,98694,5.3
10,Delaware,2008,5,677046,445812,65.8,428112,63.2,17700,4
11,District of Columbia,2008,5,476678,327551,68.7,308705,64.8,18846,5.8
12,Florida,2008,5,14460689,9224844,63.8,8714898,60.3,509946,5.5
13,Georgia,2008,5,7183238,4934638,68.7,4656642,64.8,277996,5.6
15,Hawaii,2008,5,974398,642800,66,618992,63.5,23808,3.7
16,Idaho,2008,5,1131924,759271,67.1,723860,63.9,35411,4.7
17,Illinois,2008,5,9801672,6676767,68.1,6279305,64.1,397462,6
18,Indiana,2008,5,4869426,3239880,66.5,3071026,63.1,168854,5.2
19,Iowa,2008,5,2317378,1672348,72.2,1612805,69.6,59543,3.6
20,Kansas,2008,5,2108535,1490891,70.7,1427041,67.7,63850,4.3
21,Kentucky,2008,5,3304688,2032918,61.5,1913516,57.9,119402,5.9
22,Louisiana,2008,5,3347495,2070960,61.9,1982094,59.2,88866,4.3
23,Maine,2008,5,1061827,697933,65.7,662654,62.4,35279,5.1
24,Maryland,2008,5,4351442,2990787,68.7,2877380,66.1,113407,3.8
25,Massachusetts,2008,5,5176718,3423145,66.1,3251272,62.8,171873,5
26,Michigan,2008,5,7771115,4951177,63.7,4566688,58.8,384489,7.8
27,Minnesota,2008,5,4045132,2917967,72.1,2775934,68.6,142033,4.9
28,Mississippi,2008,5,2184868,1316880,60.3,1231911,56.4,84969,6.5
29,Missouri,2008,5,4570847,3029892,66.3,2860996,62.6,168896,5.6
30,Montana,2008,5,758910,509766,67.2,487718,64.3,22048,4.3
31,Nebraska,2008,5,1350512,992277,73.5,961771,71.2,30506,3.1
32,Nevada,2008,5,1973333,1363357,69.1,1284143,65.1,79214,5.8
33,New Hampshire,2008,5,1050338,738202,70.3,712154,67.8,26048,3.5
34,New Jersey,2008,5,6715242,4487200,66.8,4266426,63.5,220774,4.9
35,New Mexico,2008,5,1496868,937341,62.6,900507,60.2,36834,3.9
36,New York,2008,5,15259142,9608312,63,9133266,59.9,475046,4.9
51000,New York city,2008,5,6566351,3888425,59.2,3695877,56.3,192548,5
37,North Carolina,2008,5,6996920,4564270,65.2,4311171,61.6,253099,5.5
38,North Dakota,2008,5,498302,373569,75,363561,73,10008,2.7
39,Ohio,2008,5,8924889,5976492,67,5622689,63,353803,5.9
40,Oklahoma,2008,5,2738669,1738596,63.5,1677065,61.2,61531,3.5
41,Oregon,2008,5,2965016,1935011,65.3,1832013,61.8,102998,5.3
42,Pennsylvania,2008,5,9879825,6438073,65.2,6121491,62,316582,4.9
44,Rhode Island,2008,5,837855,566163,67.6,525852,62.8,40311,7.1
45,South Carolina,2008,5,3432857,2145796,62.5,2020770,58.9,125026,5.8
46,South Dakota,2008,5,610576,446653,73.2,434468,71.2,12185,2.7
47,Tennessee,2008,5,4814888,3052115,63.4,2866200,59.5,185915,6.1
48,Texas,2008,5,17692809,11603854,65.6,11097095,62.7,506759,4.4
49,Utah,2008,5,1928810,1366853,70.9,1324237,68.7,42616,3.1
50,Vermont,2008,5,504303,351213,69.6,336423,66.7,14790,4.2
51,Virginia,2008,5,5916469,4147647,70.1,3993732,67.5,153915,3.7
53,Washington,2008,5,5077412,3457960,68.1,3283780,64.7,174180,5
54,West Virginia,2008,5,1447778,817134,56.4,782156,54,34978,4.3
55,Wisconsin,2008,5,4384483,3072305,70.1,2941706,67.1,130599,4.3
56,Wyoming,2008,5,409806,290627,70.9,282642,69,7985,2.7
1,Alabama,2008,6,3590424,2195259,61.1,2066629,57.6,128630,5.9
2,Alaska,2008,6,500654,364161,72.7,339615,67.8,24546,6.7
4,Arizona,2008,6,4865847,3113462,64,2922000,60.1,191462,6.1
5,Arkansas,2008,6,2185440,1397451,63.9,1322645,60.5,74806,5.4
6,California,2008,6,27587706,18196508,66,16922825,61.3,1273683,7
37,Los Angeles County,2008,6,7455440,4904758,65.8,4549116,61,355642,7.3
8,Colorado,2008,6,3763867,2737640,72.7,2602788,69.2,134852,4.9
9,Connecticut,2008,6,2726025,1898926,69.7,1792702,65.8,106224,5.6
10,Delaware,2008,6,677885,451327,66.6,429863,63.4,21464,4.8
11,District of Columbia,2008,6,477031,333522,69.9,311947,65.4,21575,6.5
12,Florida,2008,6,14472206,9251174,63.9,8680159,60,571015,6.2
13,Georgia,2008,6,7193494,4948991,68.8,4646443,64.6,302548,6.1
15,Hawaii,2008,6,974980,647745,66.4,617317,63.3,30428,4.7
16,Idaho,2008,6,1133789,769797,67.9,731585,64.5,38212,5
17,Illinois,2008,6,9807583,6767021,69,6315684,64.4,451337,6.7
18,Indiana,2008,6,4872865,3273668,67.2,3088028,63.4,185640,5.7
19,Iowa,2008,6,2318576,1691870,73,1623591,70,68279,4
20,Kansas,2008,6,2109796,1516716,71.9,1446896,68.6,69820,4.6
21,Kentucky,2008,6,3307933,2063861,62.4,1930392,58.4,133469,6.5
22,Louisiana,2008,6,3352675,2115757,63.1,2001806,59.7,113951,5.4
23,Maine,2008,6,1062361,712777,67.1,677094,63.7,35683,5
24,Maryland,2008,6,4354007,3027771,69.5,2897094,66.5,130677,4.3
25,Massachusetts,2008,6,5181107,3498146,67.5,3302091,63.7,196055,5.6
26,Michigan,2008,6,7770857,4996765,64.3,4594522,59.1,402243,8.1
27,Minnesota,2008,6,4048438,2947486,72.8,2789690,68.9,157796,5.4
28,Mississippi,2008,6,2186207,1322631,60.5,1228410,56.2,94221,7.1
29,Missouri,2008,6,4574724,3067424,67.1,2885278,63.1,182146,5.9
30,Montana,2008,6,759760,516190,67.9,490631,64.6,25559,5
31,Nebraska,2008,6,1351414,1001715,74.1,966814,71.5,34901,3.5
32,Nevada,2008,6,1976466,1368293,69.2,1281246,64.8,87047,6.4
33,New Hampshire,2008,6,1051123,749700,71.3,722354,68.7,27346,3.6
34,New Jersey,2008,6,6718294,4544256,67.6,4313006,64.2,231250,5.1
35,New Mexico,2008,6,1498176,951797,63.5,904828,60.4,46969,4.9
36,New York,2008,6,15265601,9734450,63.8,9238810,60.5,495640,5.1
51000,New York city,2008,6,6569526,3907056,59.5,3705296,56.4,201760,5.2
37,North Carolina,2008,6,7007925,4584954,65.4,4313781,61.6,271173,5.9
38,North Dakota,2008,6,498606,381526,76.5,368466,73.9,13060,3.4
39,Ohio,2008,6,8927562,6030063,67.5,5636132,63.1,393931,6.5
40,Oklahoma,2008,6,2740965,1766580,64.5,1695631,61.9,70949,4
41,Oregon,2008,6,2968804,1959561,66,1844798,62.1,114763,5.9
42,Pennsylvania,2008,6,9885062,6511635,65.9,6168419,62.4,343216,5.3
44,Rhode Island,2008,6,837929,573069,68.4,531322,63.4,41747,7.3
45,South Carolina,2008,6,3438473,2172319,63.2,2028477,59,143842,6.6
46,South Dakota,2008,6,611174,454479,74.4,441552,72.2,12927,2.8
47,Tennessee,2008,6,4820351,3092740,64.2,2882390,59.8,210350,6.8
48,Texas,2008,6,17722244,11711714,66.1,11124221,62.8,587493,5
49,Utah,2008,6,1932599,1379005,71.4,1328604,68.7,50401,3.7
50,Vermont,2008,6,504558,358247,71,342175,67.8,16072,4.5
51,Virginia,2008,6,5922288,4174547,70.5,4008519,67.7,166028,4
53,Washington,2008,6,5084384,3488407,68.6,3307032,65,181375,5.2
54,West Virginia,2008,6,1448230,823470,56.9,787794,54.4,35676,4.3
55,Wisconsin,2008,6,4387249,3133022,71.4,2984167,68,148855,4.8
56,Wyoming,2008,6,410427,298014,72.6,289199,70.5,8815,3
1,Alabama,2008,7,3593293,2192307,61,2060216,57.3,132091,6
2,Alaska,2008,7,501082,367756,73.4,345674,69,22082,6
4,Arizona,2008,7,4874841,3118037,64,2911106,59.7,206931,6.6
5,Arkansas,2008,7,2187167,1396457,63.8,1317726,60.2,78731,5.6
6,California,2008,7,27615732,18306130,66.3,16908797,61.2,1397333,7.6
37,Los Angeles County,2008,7,7460704,4963103,66.5,4555760,61.1,407343,8.2
8,Colorado,2008,7,3770226,2747469,72.9,2611184,69.3,136285,5
9,Connecticut,2008,7,2727747,1916095,70.2,1800970,66,115125,6
10,Delaware,2008,7,678769,452202,66.6,429951,63.3,22251,4.9
11,District of Columbia,2008,7,477346,339374,71.1,317143,66.4,22231,6.6
12,Florida,2008,7,14483564,9312115,64.3,8680572,59.9,631543,6.8
13,Georgia,2008,7,7203540,4986620,69.2,4664282,64.7,322338,6.5
15,Hawaii,2008,7,975546,647977,66.4,619164,63.5,28813,4.4
16,Idaho,2008,7,1135675,772603,68,733641,64.6,38962,5
17,Illinois,2008,7,9813237,6752703,68.8,6306216,64.3,446487,6.6
18,Indiana,2008,7,4876173,3283458,67.3,3083442,63.2,200016,6.1
19,Iowa,2008,7,2319771,1701059,73.3,1632742,70.4,68317,4
20,Kansas,2008,7,2110980,1522608,72.1,1447438,68.6,75170,4.9
21,Kentucky,2008,7,3311128,2051302,62,1917396,57.9,133906,6.5
22,Louisiana,2008,7,3357744,2124869,63.3,2013796,60,111073,5.2
23,Maine,2008,7,1062884,720508,67.8,683580,64.3,36928,5.1
24,Maryland,2008,7,4356418,3058767,70.2,2923311,67.1,135456,4.4
25,Massachusetts,2008,7,5185422,3509150,67.7,3309778,63.8,199372,5.7
26,Michigan,2008,7,7770438,4997434,64.3,4550765,58.6,446669,8.9
27,Minnesota,2008,7,4051642,2963976,73.2,2803784,69.2,160192,5.4
28,Mississippi,2008,7,2187453,1322551,60.5,1223946,56,98605,7.5
29,Missouri,2008,7,4578539,3067237,67,2868262,62.6,198975,6.5
30,Montana,2008,7,760598,520165,68.4,496243,65.2,23922,4.6
31,Nebraska,2008,7,1352261,1005516,74.4,970286,71.8,35230,3.5
32,Nevada,2008,7,1979594,1373451,69.4,1281349,64.7,92102,6.7
33,New Hampshire,2008,7,1051868,756568,71.9,729305,69.3,27263,3.6
34,New Jersey,2008,7,6721248,4575393,68.1,4318580,64.3,256813,5.6
35,New Mexico,2008,7,1499466,953025,63.6,906398,60.4,46627,4.9
36,New York,2008,7,15271726,9813194,64.3,9279123,60.8,534071,5.4
51000,New York city,2008,7,6572720,3956413,60.2,3730392,56.8,226021,5.7
37,North Carolina,2008,7,7018773,4613181,65.7,4324163,61.6,289018,6.3
38,North Dakota,2008,7,498898,381067,76.4,369277,74,11790,3.1
39,Ohio,2008,7,8930028,6071104,68,5648482,63.3,422622,7
40,Oklahoma,2008,7,2743144,1763453,64.3,1697611,61.9,65842,3.7
41,Oregon,2008,7,2972578,1976363,66.5,1852512,62.3,123851,6.3
42,Pennsylvania,2008,7,9890101,6562471,66.4,6201220,62.7,361251,5.5
44,Rhode Island,2008,7,838009,577012,68.9,530057,63.3,46955,8.1
45,South Carolina,2008,7,3444043,2172167,63.1,2022393,58.7,149774,6.9
46,South Dakota,2008,7,611741,456126,74.6,443147,72.4,12979,2.8
47,Tennessee,2008,7,4825694,3099583,64.2,2882704,59.7,216879,7
48,Texas,2008,7,17751353,11757651,66.2,11151531,62.8,606120,5.2
49,Utah,2008,7,1936350,1382958,71.4,1332166,68.8,50792,3.7
50,Vermont,2008,7,504770,359243,71.2,343473,68,15770,4.4
51,Virginia,2008,7,5927975,4201854,70.9,4030911,68,170943,4.1
53,Washington,2008,7,5091309,3511200,69,3327647,65.4,183553,5.2
54,West Virginia,2008,7,1448618,819438,56.6,787844,54.4,31594,3.9
55,Wisconsin,2008,7,4389936,3135749,71.4,2989074,68.1,146675,4.7
56,Wyoming,2008,7,411048,298278,72.6,290296,70.6,7982,2.7
1,Alabama,2008,8,3596204,2180770,60.6,2045512,56.9,135258,6.2
2,Alaska,2008,8,502170,362908,72.3,341996,68.1,20912,5.8
4,Arizona,2008,8,4882204,3127941,64.1,2901941,59.4,226000,7.2
5,Arkansas,2008,8,2188840,1382459,63.2,1307826,59.7,74633,5.4
6,California,2008,8,27647757,18292518,66.2,16873372,61,1419146,7.8
37,Los Angeles County,2008,8,7466612,4950616,66.3,4530979,60.7,419637,8.5
8,Colorado,2008,8,3776709,2734535,72.4,2600596,68.9,133939,4.9
9,Connecticut,2008,8,2729782,1903576,69.7,1786324,65.4,117252,6.2
10,Delaware,2008,8,679481,449659,66.2,426055,62.7,23604,5.2
11,District of Columbia,2008,8,478161,335318,70.1,313388,65.5,21930,6.5
12,Florida,2008,8,14494359,9273966,64,8609757,59.4,664209,7.2
13,Georgia,2008,8,7212743,4964017,68.8,4638156,64.3,325861,6.6
15,Hawaii,2008,8,976125,640711,65.6,611775,62.7,28936,4.5
16,Idaho,2008,8,1137065,764930,67.3,724935,63.8,39995,5.2
17,Illinois,2008,8,9820037,6668616,67.9,6221835,63.4,446781,6.7
18,Indiana,2008,8,4879459,3258356,66.8,3057948,62.7,200408,6.2
19,Iowa,2008,8,2321258,1681321,72.4,1611219,69.4,70102,4.2
20,Kansas,2008,8,2112793,1499447,71,1424908,67.4,74539,5
21,Kentucky,2008,8,3312948,2036408,61.5,1902466,57.4,133942,6.6
22,Louisiana,2008,8,3360884,2110235,62.8,1994217,59.3,116018,5.5
23,Maine,2008,8,1063209,717538,67.5,683048,64.2,34490,4.8
24,Maryland,2008,8,4360469,3030404,69.5,2891932,66.3,138472,4.6
25,Massachusetts,2008,8,5190727,3502576,67.5,3307188,63.7,195388,5.6
26,Michigan,2008,8,7771436,4952091,63.7,4543149,58.5,408942,8.3
27,Minnesota,2008,8,4054892,2950216,72.8,2791812,68.9,158404,5.4
28,Mississippi,2008,8,2188782,1295056,59.2,1208332,55.2,86724,6.7
29,Missouri,2008,8,4581836,3034369,66.2,2828509,61.7,205860,6.8
30,Montana,2008,8,761268,518553,68.1,494002,64.9,24551,4.7
31,Nebraska,2008,8,1353373,992635,73.3,960689,71,31946,3.2
32,Nevada,2008,8,1981608,1370614,69.2,1275199,64.4,95415,7
33,New Hampshire,2008,8,1052469,753537,71.6,725716,69,27821,3.7
34,New Jersey,2008,8,6726036,4537836,67.5,4291110,63.8,246726,5.4
35,New Mexico,2008,8,1501107,947472,63.1,903176,60.2,44296,4.7
36,New York,2008,8,15280962,9760437,63.9,9219404,60.3,541033,5.5
51000,New York city,2008,8,6576006,3950966,60.1,3716033,56.5,234933,5.9
37,North Carolina,2008,8,7028454,4571204,65,4282651,60.9,288553,6.3
38,North Dakota,2008,8,499374,378302,75.8,366928,73.5,11374,3
39,Ohio,2008,8,8933289,6035115,67.6,5624347,63,410768,6.8
40,Oklahoma,2008,8,2746239,1754977,63.9,1689027,61.5,65950,3.8
41,Oregon,2008,8,2976099,1979227,66.5,1850255,62.2,128972,6.5
42,Pennsylvania,2008,8,9895782,6526540,66,6162559,62.3,363981,5.6
44,Rhode Island,2008,8,838423,575701,68.7,528320,63,47381,8.2
45,South Carolina,2008,8,3448595,2165963,62.8,2003086,58.1,162877,7.5
46,South Dakota,2008,8,612285,452960,74,439253,71.7,13707,3
47,Tennessee,2008,8,4829913,3059086,63.3,2846387,58.9,212699,7
48,Texas,2008,8,17783166,11702285,65.8,11094921,62.4,607364,5.2
49,Utah,2008,8,1939685,1380541,71.2,1328747,68.5,51794,3.8
50,Vermont,2008,8,505023,358348,71,342900,67.9,15448,4.3
51,Virginia,2008,8,5934957,4156246,70,3982260,67.1,173986,4.2
53,Washington,2008,8,5099238,3497910,68.6,3309050,64.9,188860,5.4
54,West Virginia,2008,8,1449189,812898,56.1,780918,53.9,31980,3.9
55,Wisconsin,2008,8,4392873,3112870,70.9,2966812,67.5,146058,4.7
56,Wyoming,2008,8,411744,296658,72,288838,70.1,7820,2.6
1,Alabama,2008,9,3598993,2169953,60.3,2042444,56.8,127509,5.9
2,Alaska,2008,9,503222,357059,71,335832,66.7,21227,5.9
4,Arizona,2008,9,4889372,3137880,64.2,2911623,59.6,226257,7.2
5,Arkansas,2008,9,2190470,1379730,63,1305528,59.6,74202,5.4
6,California,2008,9,27679019,18271189,66,16873297,61,1397892,7.7
37,Los Angeles County,2008,9,7472581,4953862,66.3,4536671,60.7,417191,8.4
8,Colorado,2008,9,3783064,2730903,72.2,2598101,68.7,132802,4.9
9,Connecticut,2008,9,2731705,1882477,68.9,1770180,64.8,112297,6
10,Delaware,2008,9,680178,442557,65.1,418528,61.5,24029,5.4
11,District of Columbia,2008,9,478964,331843,69.3,309123,64.5,22720,6.8
12,Florida,2008,9,14504739,9280107,64,8621074,59.4,659033,7.1
13,Georgia,2008,9,7221664,4806274,66.6,4482288,62.1,323986,6.7
15,Hawaii,2008,9,976705,634247,64.9,602044,61.6,32203,5.1
16,Idaho,2008,9,1138405,757657,66.6,718910,63.2,38747,5.1
17,Illinois,2008,9,9826546,6597259,67.1,6190319,63,406940,6.2
18,Indiana,2008,9,4882575,3231248,66.2,3045917,62.4,185331,5.7
19,Iowa,2008,9,2322671,1680431,72.3,1612377,69.4,68054,4
20,Kansas,2008,9,2114526,1501114,71,1430120,67.6,70994,4.7
21,Kentucky,2008,9,3314652,2031903,61.3,1898619,57.3,133284,6.6
22,Louisiana,2008,9,3363894,2099603,62.4,1980259,58.9,119344,5.7
23,Maine,2008,9,1063497,699442,65.8,663913,62.4,35529,5.1
24,Maryland,2008,9,4364380,3009506,69,2873731,65.8,135775,4.5
25,Massachusetts,2008,9,5195775,3450201,66.4,3245848,62.5,204353,5.9
26,Michigan,2008,9,7772172,4895396,63,4510065,58,385331,7.9
27,Minnesota,2008,9,4058030,2933542,72.3,2775826,68.4,157716,5.4
28,Mississippi,2008,9,2190044,1297632,59.3,1208362,55.2,89270,6.9
29,Missouri,2008,9,4584996,3027435,66,2834655,61.8,192780,6.4
30,Montana,2008,9,761925,509346,66.8,485157,63.7,24189,4.7
31,Nebraska,2008,9,1354435,983280,72.6,951780,70.3,31500,3.2
32,Nevada,2008,9,1983560,1368115,69,1269223,64,98892,7.2
33,New Hampshire,2008,9,1053023,739364,70.2,712896,67.7,26468,3.6
34,New Jersey,2008,9,6730644,4488387,66.7,4245376,63.1,243011,5.4
35,New Mexico,2008,9,1502721,947843,63.1,904094,60.2,43749,4.6
36,New York,2008,9,15289715,9675830,63.3,9140174,59.8,535656,5.5
51000,New York city,2008,9,6579342,3938042,59.9,3708647,56.4,229395,5.8
37,North Carolina,2008,9,7037922,4561535,64.8,4292928,61,268607,5.9
38,North Dakota,2008,9,499813,370856,74.2,361246,72.3,9610,2.6
39,Ohio,2008,9,8936246,5961551,66.7,5575806,62.4,385745,6.5
40,Oklahoma,2008,9,2749269,1758074,63.9,1692544,61.6,65530,3.7
41,Oregon,2008,9,2979483,1966190,66,1840460,61.8,125730,6.4
42,Pennsylvania,2008,9,9901160,6465383,65.3,6140232,62,325151,5
44,Rhode Island,2008,9,838861,569632,67.9,524291,62.5,45341,8
45,South Carolina,2008,9,3453007,2151189,62.3,1990871,57.7,160318,7.5
46,South Dakota,2008,9,612844,445047,72.6,432071,70.5,12976,2.9
47,Tennessee,2008,9,4834013,3054619,63.2,2843103,58.8,211516,6.9
48,Texas,2008,9,17814485,11740046,65.9,11146305,62.6,593741,5.1
49,Utah,2008,9,1942966,1372063,70.6,1325875,68.2,46188,3.4
50,Vermont,2008,9,505257,355499,70.4,339562,67.2,15937,4.5
51,Virginia,2008,9,5941756,4139951,69.7,3973948,66.9,166003,4
53,Washington,2008,9,5106981,3487702,68.3,3309585,64.8,178117,5.1
54,West Virginia,2008,9,1449753,815060,56.2,785409,54.2,29651,3.6
55,Wisconsin,2008,9,4395671,3089165,70.3,2955547,67.2,133618,4.3
56,Wyoming,2008,9,412444,294561,71.4,287058,69.6,7503,2.5
1,Alabama,2008,10,3601896,2185049,60.7,2047657,56.8,137392,6.3
2,Alaska,2008,10,504284,354710,70.3,332386,65.9,22324,6.3
4,Arizona,2008,10,4896695,3146845,64.3,2919164,59.6,227681,7.2
5,Arkansas,2008,10,2192094,1378564,62.9,1304102,59.5,74462,5.4
6,California,2008,10,27710666,18325183,66.1,16863303,60.9,1461880,8
37,Los Angeles County,2008,10,7478480,4968162,66.4,4541998,60.7,426164,8.6
8,Colorado,2008,10,3789510,2741759,72.4,2603537,68.7,138222,5
9,Connecticut,2008,10,2733733,1892967,69.2,1779479,65.1,113488,6
10,Delaware,2008,10,680882,445952,65.5,420216,61.7,25736,5.8
11,District of Columbia,2008,10,479756,330226,68.8,306764,63.9,23462,7.1
12,Florida,2008,10,14515421,9271872,63.9,8598024,59.2,673848,7.3
13,Georgia,2008,10,7230835,4780324,66.1,4437557,61.4,342767,7.2
15,Hawaii,2008,10,977292,632069,64.7,599616,61.4,32453,5.1
16,Idaho,2008,10,1139803,757322,66.4,716161,62.8,41161,5.4
17,Illinois,2008,10,9833265,6613458,67.3,6192485,63,420973,6.4
18,Indiana,2008,10,4885822,3248725,66.5,3048708,62.4,200017,6.2
19,Iowa,2008,10,2324167,1688781,72.7,1621777,69.8,67004,4
20,Kansas,2008,10,2116326,1510852,71.4,1439088,68,71764,4.7
