state,date,gdp,gdp_growth_rate,unemployment_rate,edu_attainment
"Indiana","2014","313830.9","3.2","5.96","21.97",
"Iowa","2014","165641.4","4.9","4.24","24.31",
"Kansas","2014","144131.5","2.7","4.54","27.85",
"Kentucky","2014","179888.5","0.2","6.46","19.61",
"Louisiana","2014","232746.2","2.8","6.37","19.68",
"Maine","2014","53445.1","1.9","5.62","26.07",
"Maryland","2014","339991.3","1.7","5.81","34.67",
"Massachusetts","2014","453778.2","1.7","5.74","37.64",
"Michigan","2014","430935.6","1.3","7.23","24.72",
"Minnesota","2014","312084","2.9","4.17","30.65",
"Mississippi","2014","99501.2","0","7.51","17.11",
"Missouri","2014","272786.8","0.5","6.14","24.32",
"Montana","2014","43285.1","2","4.67","25.58",
"Nebraska","2014","107394.4","3.3","3.28","26.53",
"Nevada","2014","129405.2","0.8","7.92","21.16",
"New Hampshire","2014","69506.5","2","4.27","31.16",
"New Jersey","2014","524420.4","-0.5","6.76","34.84",
"New Mexico","2014","89372.2","3.2","6.67","22.16",
"New York","2014","1347559.8","1.7","6.34","31.04",
"North Carolina","2014","455295.7","2.3","6.31","25.16",
"North Dakota","2014","56554.6","8","2.67","22.89",
"Ohio","2014","571424.7","3.8","5.81","24.36",
"Oklahoma","2014","186307","5.3","4.48","21.35",
"Oregon","2014","181754.9","3.4","6.78","27.53",
"Pennsylvania","2014","666555.8","2.4","5.86","26.54",
"Rhode Island","2014","52005.5","0.6","7.69","28.61",
"South Carolina","2014","183579.7","2.7","6.47","23.45",
"South Dakota","2014","44449.7","1.6","3.43","23.44",
"Tennessee","2014","291661.7","1.5","6.58","22.81",
"Texas","2014","1518613.7","3.3","5.1","24.8",
"Utah","2014","136325.2","3.1","3.81","28.95",
"Vermont","2014","28510.1","0.5","3.94","30.24",
"Virginia","2014","446790.6","0","5.23","33.42",
"Washington","2014","426481.6","3.6","6.13","30.92",
"West Virginia","2014","69720.7","-0.6","6.64","17.02",
"Wisconsin","2014","282031.2","2.3","5.4","25.14",
"Wyoming","2014","38711.1","0.5","4.14","23.19",
"Alabama","2015","189428.8","1","6.08","22.11",
"Alaska","2015","54015.3","1","6.51","26.13",
"Arizona","2015","281935.6","2.9","6.06","25.09",
"Arkansas","2015","112938.9","1.1","5.03","19.97",
"California","2015","2437366.9","5.2","6.2","29.33",
"Colorado","2015","308898.9","4.8","3.9","35.67",
"Connecticut","2015","245304.5","3.2","5.72","35.36",
"Delaware","2015","66527","3.7","4.86","28.51",
"District of Columbia","2015","117011","1.9","6.89","51.88",
"Florida","2015","842269.4","4.5","5.46","26.25",
"Georgia","2015","484378.4","4.1","6","26.98",
"Hawaii","2015","77176.6","3.6","3.56","28.6",
"Idaho","2015","63235.7","2.6","4.1","23.33",
"Illinois","2015","747666.8","1.6","5.97","30.35",
"Indiana","2015","311850.4","-0.6","4.84","22.82",
"Iowa","2015","170545.9","3","3.76","24.54",
"Kansas","2015","147929.8","2.6","4.18","28.55",
"Kentucky","2015","182487.9","1.4","5.29","21.33",
"Louisiana","2015","230434","-1","6.33","21.16",
"Maine","2015","53879.3","0.8","4.39","27.96",
"Maryland","2015","349146.8","2.7","5.08","35.83",
"Massachusetts","2015","471979.2","4","4.8","38.36",
"Michigan","2015","442287.6","2.6","5.43","25.49",
"Minnesota","2015","316863.3","1.5","3.69","32.08",
"Mississippi","2015","100013.6","0.5","6.38","18.79",
"Missouri","2015","276316.7","1.3","5.03","25.48",
"Montana","2015","45042.5","4.1","4.18","27.54",
"Nebraska","2015","110752.9","3.1","3.01","27.8",
"Nevada","2015","134892.2","4.2","6.74","21.47",
"New Hampshire","2015","71419.1","2.8","3.37","32.84",
"New Jersey","2015","535284.5","2.1","5.79","35.05",
"New Mexico","2015","91679.5","2.6","6.5","23.64",
"New York","2015","1372232.4","1.8","5.27","32.61",
"North Carolina","2015","469535.6","3.1","5.71","26.85",
"North Dakota","2015","55067.4","-2.6","2.8","26.54",
"Ohio","2015","579943.2","1.5","4.91","24.73",
"Oklahoma","2015","193237.7","3.7","4.41","22.34",
